# Depth(nm)	Force(mN)
0.000e+00	0.000e+00
6.162e-02	9.150e-04
6.670e-01	1.823e-03
1.362e+00	2.726e-03
2.003e+00	3.630e-03
2.006e+00	4.537e-03
2.440e+00	5.450e-03
2.575e+00	6.363e-03
2.595e+00	7.268e-03
2.806e+00	7.268e-03
3.024e+00	7.270e-03
4.950e+00	3.688e-02
8.486e+00	6.821e-02
1.284e+01	9.946e-02
1.767e+01	1.301e-01
2.289e+01	1.633e-01
2.679e+01	1.933e-01
2.976e+01	2.230e-01
3.460e+01	2.530e-01
3.857e+01	2.828e-01
4.274e+01	3.129e-01
4.563e+01	3.426e-01
4.851e+01	3.724e-01
5.145e+01	4.027e-01
5.423e+01	4.340e-01
5.645e+01	4.644e-01
5.970e+01	4.947e-01
6.382e+01	5.255e-01
6.822e+01	5.570e-01
6.983e+01	5.881e-01
7.243e+01	6.188e-01
7.459e+01	6.491e-01
7.609e+01	6.800e-01
7.740e+01	7.100e-01
7.805e+01	7.401e-01
7.975e+01	7.701e-01
8.299e+01	8.000e-01
8.440e+01	8.299e-01
8.673e+01	8.601e-01
9.131e+01	8.900e-01
9.330e+01	9.201e-01
9.486e+01	9.500e-01
9.590e+01	9.801e-01
9.828e+01	1.010e+00
9.980e+01	1.040e+00
1.010e+02	1.071e+00
1.016e+02	1.101e+00
1.026e+02	1.131e+00
1.048e+02	1.161e+00
1.080e+02	1.191e+00
1.113e+02	1.221e+00
1.130e+02	1.250e+00
1.146e+02	1.281e+00
1.170e+02	1.311e+00
1.180e+02	1.341e+00
1.185e+02	1.371e+00
1.198e+02	1.401e+00
1.218e+02	1.431e+00
1.228e+02	1.460e+00
1.248e+02	1.491e+00
1.264e+02	1.522e+00
1.272e+02	1.552e+00
1.280e+02	1.582e+00
1.287e+02	1.612e+00
1.304e+02	1.642e+00
1.335e+02	1.672e+00
1.368e+02	1.702e+00
1.385e+02	1.732e+00
1.395e+02	1.762e+00
1.398e+02	1.792e+00
1.410e+02	1.823e+00
1.421e+02	1.853e+00
1.442e+02	1.883e+00
1.458e+02	1.913e+00
1.479e+02	1.944e+00
1.486e+02	1.974e+00
1.498e+02	2.003e+00
1.512e+02	2.033e+00
1.524e+02	2.063e+00
1.535e+02	2.093e+00
1.548e+02	2.123e+00
1.570e+02	2.153e+00
1.580e+02	2.183e+00
1.594e+02	2.213e+00
1.614e+02	2.243e+00
1.640e+02	2.273e+00
1.656e+02	2.303e+00
1.670e+02	2.333e+00
1.678e+02	2.363e+00
1.686e+02	2.393e+00
1.691e+02	2.423e+00
1.704e+02	2.453e+00
1.721e+02	2.483e+00
1.746e+02	2.513e+00
1.768e+02	2.543e+00
1.788e+02	2.573e+00
1.797e+02	2.603e+00
1.799e+02	2.633e+00
1.803e+02	2.663e+00
1.808e+02	2.693e+00
1.816e+02	2.723e+00
1.832e+02	2.753e+00
1.842e+02	2.783e+00
1.854e+02	2.813e+00
