# Depth(nm)	Force(mN)
0.000e+00	0.000e+00
3.484e-01	9.040e-04
4.707e-01	1.812e-03
6.209e-01	2.718e-03
1.508e+00	3.627e-03
1.696e+00	4.530e-03
1.503e+00	5.433e-03
2.141e+00	6.337e-03
2.108e+00	7.242e-03
2.707e+00	8.151e-03
2.781e+00	9.055e-03
3.061e+00	9.957e-03
2.725e+00	9.957e-03
2.390e+00	9.959e-03
3.807e+00	3.563e-02
7.184e+00	6.156e-02
1.271e+01	8.758e-02
1.663e+01	1.128e-01
1.962e+01	1.388e-01
2.267e+01	1.638e-01
2.487e+01	1.888e-01
2.872e+01	2.139e-01
3.219e+01	2.387e-01
3.602e+01	2.638e-01
3.912e+01	2.891e-01
4.158e+01	3.138e-01
4.370e+01	3.393e-01
4.502e+01	3.644e-01
4.763e+01	3.893e-01
5.035e+01	4.146e-01
5.228e+01	4.403e-01
5.564e+01	4.650e-01
5.804e+01	4.899e-01
6.074e+01	5.149e-01
6.238e+01	5.413e-01
6.389e+01	5.663e-01
6.865e+01	5.916e-01
7.193e+01	6.167e-01
7.400e+01	6.415e-01
7.697e+01	6.668e-01
7.832e+01	6.920e-01
7.852e+01	7.168e-01
8.092e+01	7.418e-01
8.140e+01	7.670e-01
8.218e+01	7.923e-01
8.326e+01	8.176e-01
8.580e+01	8.429e-01
8.908e+01	8.679e-01
9.130e+01	8.936e-01
9.314e+01	9.186e-01
9.406e+01	9.436e-01
9.509e+01	9.692e-01
9.630e+01	9.941e-01
9.793e+01	1.019e+00
9.918e+01	1.045e+00
1.000e+02	1.070e+00
1.009e+02	1.095e+00
1.034e+02	1.120e+00
1.061e+02	1.145e+00
1.074e+02	1.170e+00
1.089e+02	1.195e+00
1.106e+02	1.220e+00
1.121e+02	1.245e+00
1.129e+02	1.270e+00
1.132e+02	1.295e+00
1.146e+02	1.320e+00
1.165e+02	1.345e+00
1.178e+02	1.370e+00
1.197e+02	1.395e+00
1.210e+02	1.420e+00
1.218e+02	1.445e+00
1.237e+02	1.470e+00
1.254e+02	1.495e+00
1.264e+02	1.521e+00
1.276e+02	1.546e+00
1.285e+02	1.571e+00
1.307e+02	1.597e+00
1.328e+02	1.622e+00
1.362e+02	1.646e+00
1.371e+02	1.672e+00
1.384e+02	1.697e+00
1.402e+02	1.722e+00
1.409e+02	1.747e+00
1.411e+02	1.772e+00
1.437e+02	1.797e+00
1.451e+02	1.822e+00
1.457e+02	1.847e+00
1.466e+02	1.872e+00
1.472e+02	1.897e+00
1.485e+02	1.922e+00
1.505e+02	1.947e+00
1.529e+02	1.973e+00
1.542e+02	1.998e+00
1.549e+02	2.023e+00
1.566e+02	2.047e+00
1.576e+02	2.073e+00
1.588e+02	2.097e+00
1.609e+02	2.122e+00
1.631e+02	2.148e+00
1.652e+02	2.173e+00
1.664e+02	2.198e+00
1.669e+02	2.222e+00
1.673e+02	2.248e+00
1.677e+02	2.273e+00
1.685e+02	2.298e+00
