# Depth(nm)	Force(mN)
0.000e+00	0.000e+00
2.632e-01	9.070e-04
4.798e-01	1.814e-03
6.462e-01	2.721e-03
7.887e-01	3.624e-03
1.324e+00	4.532e-03
1.343e+00	5.441e-03
1.268e+00	6.347e-03
1.803e+00	7.261e-03
2.322e+00	8.169e-03
2.150e+00	9.075e-03
1.717e+00	9.982e-03
2.632e+00	1.089e-02
2.288e+00	1.089e-02
2.623e+00	1.089e-02
3.691e+00	3.587e-02
5.777e+00	6.179e-02
8.743e+00	8.773e-02
1.359e+01	1.124e-01
1.810e+01	1.383e-01
2.116e+01	1.636e-01
2.519e+01	1.885e-01
2.938e+01	2.135e-01
3.360e+01	2.385e-01
3.645e+01	2.635e-01
3.986e+01	2.885e-01
4.153e+01	3.132e-01
4.394e+01	3.385e-01
4.707e+01	3.633e-01
5.015e+01	3.885e-01
5.310e+01	4.135e-01
5.605e+01	4.396e-01
5.893e+01	4.650e-01
6.098e+01	4.911e-01
6.428e+01	5.161e-01
6.718e+01	5.422e-01
6.885e+01	5.672e-01
7.131e+01	5.922e-01
7.287e+01	6.172e-01
7.481e+01	6.423e-01
7.743e+01	6.677e-01
7.883e+01	6.927e-01
8.012e+01	7.177e-01
8.249e+01	7.424e-01
8.588e+01	7.672e-01
8.788e+01	7.921e-01
8.987e+01	8.174e-01
9.101e+01	8.433e-01
9.143e+01	8.684e-01
9.254e+01	8.934e-01
9.463e+01	9.186e-01
9.548e+01	9.434e-01
9.757e+01	9.684e-01
9.958e+01	9.932e-01
1.014e+02	1.018e+00
1.032e+02	1.044e+00
1.050e+02	1.069e+00
1.061e+02	1.094e+00
1.082e+02	1.120e+00
1.107e+02	1.145e+00
1.127e+02	1.170e+00
1.144e+02	1.195e+00
1.165e+02	1.220e+00
1.180e+02	1.245e+00
1.206e+02	1.270e+00
1.216e+02	1.295e+00
1.218e+02	1.320e+00
1.233e+02	1.345e+00
1.274e+02	1.370e+00
1.318e+02	1.395e+00
1.329e+02	1.420e+00
1.354e+02	1.445e+00
1.363e+02	1.470e+00
1.369e+02	1.495e+00
1.382e+02	1.521e+00
1.383e+02	1.546e+00
1.387e+02	1.571e+00
1.393e+02	1.596e+00
1.408e+02	1.621e+00
1.418e+02	1.646e+00
1.433e+02	1.671e+00
1.449e+02	1.696e+00
1.460e+02	1.721e+00
1.475e+02	1.746e+00
1.484e+02	1.771e+00
1.488e+02	1.796e+00
1.488e+02	1.821e+00
1.497e+02	1.846e+00
1.530e+02	1.871e+00
1.548e+02	1.896e+00
1.571e+02	1.921e+00
1.591e+02	1.946e+00
1.597e+02	1.972e+00
1.601e+02	1.996e+00
1.605e+02	2.021e+00
1.616e+02	2.046e+00
1.641e+02	2.072e+00
1.653e+02	2.097e+00
1.679e+02	2.122e+00
1.693e+02	2.147e+00
1.697e+02	2.172e+00
1.700e+02	2.197e+00
1.701e+02	2.222e+00
1.708e+02	2.248e+00
1.712e+02	2.273e+00
1.725e+02	2.298e+00
1.733e+02	2.323e+00
1.749e+02	2.348e+00
1.762e+02	2.373e+00
1.767e+02	2.399e+00
1.773e+02	2.424e+00
1.779e+02	2.449e+00
1.790e+02	2.475e+00
1.805e+02	2.500e+00
1.822e+02	2.525e+00
1.840e+02	2.550e+00
1.850e+02	2.576e+00
1.858e+02	2.601e+00
1.862e+02	2.626e+00
1.867e+02	2.651e+00
1.873e+02	2.676e+00
1.877e+02	2.701e+00
1.881e+02	2.726e+00
1.885e+02	2.751e+00
1.892e+02	2.776e+00
1.900e+02	2.801e+00
1.916e+02	2.826e+00
1.935e+02	2.851e+00
1.945e+02	2.876e+00
1.952e+02	2.901e+00
1.955e+02	2.926e+00
1.955e+02	2.951e+00
1.964e+02	2.977e+00
1.966e+02	3.002e+00
1.970e+02	3.028e+00
1.983e+02	3.052e+00
1.995e+02	3.078e+00
2.005e+02	3.103e+00
2.010e+02	3.129e+00
2.014e+02	3.154e+00
2.020e+02	3.179e+00
2.029e+02	3.204e+00
2.041e+02	3.229e+00
2.049e+02	3.255e+00
2.056e+02	3.280e+00
2.062e+02	3.305e+00
2.071e+02	3.330e+00
2.078e+02	3.356e+00
2.081e+02	3.381e+00
2.083e+02	3.406e+00
2.086e+02	3.431e+00
2.092e+02	3.456e+00
2.097e+02	3.481e+00
2.104e+02	3.506e+00
2.109e+02	3.532e+00
2.111e+02	3.558e+00
2.120e+02	3.583e+00
2.128e+02	3.609e+00
2.131e+02	3.634e+00
2.126e+02	3.660e+00
2.144e+02	3.685e+00
2.156e+02	3.710e+00
2.162e+02	3.736e+00
2.162e+02	3.761e+00
2.166e+02	3.786e+00
2.179e+02	3.811e+00
2.185e+02	3.836e+00
2.192e+02	3.862e+00
2.197e+02	3.887e+00
2.203e+02	3.912e+00
2.204e+02	3.937e+00
2.209e+02	3.963e+00
