# Depth(nm)	Force(mN)
0.000e+00	0.000e+00
4.662e-01	9.050e-04
6.541e-01	1.810e-03
7.845e-01	2.717e-03
1.108e+00	3.625e-03
1.112e+00	4.531e-03
2.040e+00	5.437e-03
2.478e+00	6.347e-03
2.515e+00	7.252e-03
2.095e+00	8.159e-03
2.472e+00	9.066e-03
2.859e+00	9.979e-03
3.088e+00	9.979e-03
3.130e+00	9.980e-03
4.351e+00	3.557e-02
7.111e+00	6.170e-02
1.240e+01	8.735e-02
1.856e+01	1.126e-01
2.217e+01	1.386e-01
2.449e+01	1.639e-01
2.736e+01	1.887e-01
3.029e+01	2.143e-01
3.364e+01	2.391e-01
3.767e+01	2.645e-01
4.094e+01	2.897e-01
4.512e+01	3.148e-01
4.900e+01	3.399e-01
5.134e+01	3.648e-01
5.219e+01	3.897e-01
5.344e+01	4.146e-01
5.585e+01	4.402e-01
5.832e+01	4.654e-01
5.890e+01	4.907e-01
6.086e+01	5.160e-01
6.237e+01	5.414e-01
6.497e+01	5.668e-01
6.610e+01	5.925e-01
6.750e+01	6.174e-01
7.046e+01	6.424e-01
7.328e+01	6.675e-01
7.575e+01	6.929e-01
7.672e+01	7.176e-01
7.826e+01	7.426e-01
8.011e+01	7.673e-01
8.148e+01	7.926e-01
8.348e+01	8.178e-01
8.748e+01	8.426e-01
8.950e+01	8.675e-01
9.095e+01	8.925e-01
9.228e+01	9.175e-01
9.365e+01	9.428e-01
9.700e+01	9.678e-01
9.899e+01	9.926e-01
1.001e+02	1.018e+00
1.024e+02	1.043e+00
1.042e+02	1.068e+00
1.059e+02	1.094e+00
1.068e+02	1.118e+00
1.075e+02	1.144e+00
1.091e+02	1.168e+00
1.110e+02	1.194e+00
1.132e+02	1.219e+00
1.146e+02	1.244e+00
1.153e+02	1.269e+00
1.174e+02	1.294e+00
1.185e+02	1.319e+00
1.213e+02	1.344e+00
1.229e+02	1.369e+00
1.243e+02	1.394e+00
1.257e+02	1.418e+00
1.283e+02	1.443e+00
1.296e+02	1.469e+00
1.322e+02	1.493e+00
1.334e+02	1.519e+00
1.342e+02	1.545e+00
1.345e+02	1.570e+00
1.349e+02	1.595e+00
1.368e+02	1.620e+00
1.389e+02	1.645e+00
1.404e+02	1.670e+00
1.421e+02	1.695e+00
1.441e+02	1.720e+00
1.448e+02	1.745e+00
1.456e+02	1.770e+00
1.466e+02	1.795e+00
1.474e+02	1.820e+00
1.481e+02	1.846e+00
1.490e+02	1.871e+00
1.494e+02	1.897e+00
1.506e+02	1.921e+00
1.523e+02	1.946e+00
1.540e+02	1.972e+00
1.561e+02	1.997e+00
1.565e+02	2.022e+00
1.581e+02	2.047e+00
1.595e+02	2.073e+00
1.598e+02	2.098e+00
1.605e+02	2.123e+00
1.624e+02	2.147e+00
1.642e+02	2.172e+00
1.655e+02	2.197e+00
1.671e+02	2.222e+00
1.678e+02	2.247e+00
